x	ch1x	ch3x	ch5y	ch7y
+1.6200000e+1	+0.8906215e+1	+1.3734713e+1	-1.5263926e+1	+1.5749898e+0
+1.6300000e+1	+6.5462518e+0	+1.0194736e+1	-1.9000336e+1	-2.1615543e+0
+1.6400000e+1	+0.9692872e+1	+1.1374725e+1	-1.2117453e+1	-0.5882762e+0
+1.6500000e+1	+0.8119559e+1	+1.4521378e+1	-1.4280655e+1	+1.1816679e+0
+1.6600000e+1	+7.3329048e+0	+0.9604743e+1	-1.4084001e+1	+2.3616345e+0
+1.6700000e+1	+0.8709551e+1	+1.5504711e+1	-1.5263926e+1	-5.3080945e+0
+1.6800000e+1	+6.5462518e+0	+7.6381030e+0	-1.8017073e+1	-0.9815962e+0
+1.6900000e+1	+0.8709551e+1	+1.0588065e+1	-1.4280655e+1	-0.3916160e+0
+1.7000000e+1	+0.8119559e+1	+1.2751383e+1	-1.5657233e+1	-0.7849362e+0
+1.7100000e+1	+1.0872860e+1	+1.0981396e+1	-1.5460580e+1	+1.5749898e+0
+1.7200000e+1	+7.9228954e+0	+0.8228094e+1	-1.4673964e+1	-3.1448505e+0
+1.7300000e+1	+0.9299543e+1	+0.8031430e+1	-1.8803682e+1	-2.3582137e+0
+1.7400000e+1	+7.9228954e+0	+1.2554717e+1	-1.5067271e+1	+1.5749898e+0
+1.7500000e+1	+6.9395781e+0	+1.3341380e+1	-1.7033808e+1	-1.3749160e+0
+1.7600000e+1	+1.0086201e+1	+1.3734713e+1	-1.4477309e+1	-3.3415093e+0
+1.7700000e+1	+0.9496207e+1	+1.1768056e+1	-1.5067271e+1	-5.8980684e+0
+1.7800000e+1	+1.0676195e+1	+1.1374725e+1	-1.8410378e+1	-2.5548730e+0
+1.7900000e+1	+7.9228954e+0	+1.3931378e+1	-1.7033808e+1	-0.9815962e+0
+1.8000000e+1	+7.1362414e+0	+0.9604743e+1	-1.5460580e+1	-2.7515323e+0
+1.8100000e+1	+6.9395781e+0	+1.1571390e+1	-1.8803682e+1	+0.7883465e+0
+1.8200000e+1	+0.8906215e+1	+1.3734713e+1	-1.3297382e+1	-2.1615543e+0
+1.8300000e+1	+4.3829632e+0	+0.9014750e+1	-1.6640501e+1	-0.9815962e+0
+1.8400000e+1	+4.7762876e+0	+1.3734713e+1	-1.4477309e+1	-2.5548730e+0
+1.8500000e+1	+0.8709551e+1	+1.0981396e+1	-1.5460580e+1	+0.1704454e-2
+1.8600000e+1	+6.9395781e+0	+0.9211414e+1	-1.2510762e+1	-3.3415093e+0
+1.8700000e+1	+0.9889536e+1	+6.4581232e+0	-1.6443848e+1	+0.9850072e+0
+1.8800000e+1	+6.3495889e+0	+1.3341380e+1	-1.7623766e+1	-2.7515323e+0
+1.8900000e+1	+7.3329048e+0	+1.0391400e+1	-1.7820419e+1	-3.3415093e+0
+1.9000000e+1	+0.8119559e+1	+0.9801407e+1	-1.4673964e+1	-0.7849362e+0
+1.9100000e+1	+1.0086201e+1	+1.0194736e+1	-1.7230461e+1	+0.5916858e+0
+1.9200000e+1	+6.7429152e+0	+0.9998072e+1	-1.4084001e+1	-1.7682352e+0
+1.9300000e+1	+0.9102879e+1	+1.4521378e+1	-1.4870618e+1	+0.9850072e+0
+1.9400000e+1	+1.0676195e+1	+1.3144714e+1	-1.5853887e+1	-3.7348270e+0
+1.9500000e+1	+0.9692872e+1	+1.2358052e+1	-1.6640501e+1	-1.3749160e+0
+1.9600000e+1	+1.0086201e+1	+0.9998072e+1	-1.5460580e+1	+1.9683120e+0
+1.9700000e+1	+7.9228954e+0	+0.8424758e+1	-1.5853887e+1	-3.5381682e+0
+1.9800000e+1	+6.1529260e+0	+1.1374725e+1	-1.4870618e+1	-1.3749160e+0
+1.9900000e+1	+5.9562631e+0	+0.9211414e+1	-1.5657233e+1	-0.9815962e+0
+2.0000000e+1	+0.8512887e+1	+0.9211414e+1	-1.2510762e+1	-2.3582137e+0
+2.0100000e+1	+7.5295682e+0	+1.2751383e+1	-1.5657233e+1	-3.7348270e+0
+2.0200000e+1	+7.9228954e+0	+1.1374725e+1	-1.5460580e+1	-2.7515323e+0
+2.0300000e+1	+7.7262321e+0	+1.1178061e+1	-1.6247194e+1	-4.1281443e+0
+2.0400000e+1	+1.1462855e+1	+1.1374725e+1	-1.5657233e+1	-1.5715756e+0
+2.0500000e+1	+1.0086201e+1	+1.1374725e+1	-1.6443848e+1	-1.3749160e+0
+2.0600000e+1	+0.8316223e+1	+1.3931378e+1	-1.8607031e+1	+0.3950253e+0
+2.0700000e+1	+7.7262321e+0	+1.0588065e+1	-2.1163506e+1	-1.3749160e+0
+2.0800000e+1	+4.7762876e+0	+0.9408078e+1	-1.7623766e+1	+0.3950253e+0
+2.0900000e+1	+0.8119559e+1	+1.3931378e+1	-1.7033808e+1	+0.7883465e+0
+2.1000000e+1	+6.1529260e+0	+1.3341380e+1	-1.5460580e+1	+1.9683120e+0
